id,name,team,team_abbr,position
NabeGa00,Gabe Nabers,Los Angeles Chargers,LAC,RB
OlszGu00,Gunner Olszewski,New England Patriots,NWE,WR
PerrSe00,Senorise Perry,Tennessee Titans,TEN,RB
ReedJo03,Joe Reed,Los Angeles Chargers,LAC,WR
RiddTh00,Theo Riddick,Las Vegas Raiders,LVR,RB
SamuJa00,Jaylen Samuels,Pittsburgh Steelers,PIT,RB
SanuMo00,Mohamed Sanu,San Francisco 49ers,SFO,WR
SherTr00,Trent Sherfield,Arizona Cardinals,ARI,WR
SmitKe03,Keith Smith,Atlanta Falcons,ATL,RB
SpenDi00,Diontae Spencer,Denver Broncos,DEN,WR
StocLu00,Luke Stocker,Atlanta Falcons,ATL,TE
ThomDa06,Darwin Thompson,Kansas City Chiefs,KAN,RB
ToilLe00,Levine Toilolo,New York Giants,NYG,TE
WescTr00,Trevon Wesco,New York Jets,NYJ,TE
YeldDe00,Deon Yelder,Kansas City Chiefs,KAN,TE
AbduAm00,Ameer Abdullah,Minnesota Vikings,MIN,
AndeSt01,Stephen Anderson,Los Angeles Chargers,LAC,
AuclAn00,Antony Auclair,Tampa Bay Buccaneers,TAM,
BarnKe00,Kenjon Barner,Tampa Bay Buccaneers,TAM,
BaugMa02,Marcus Baugh,Washington Football Team,WAS,TE
BaylEv00,Evan Baylis,Arizona Cardinals,ARI,
BeckAn01,Andrew Beck,Denver Broncos,DEN,
BoylTi00,Tim Boyle,Green Bay Packers,GNB,QB
BrowDa04,Daniel Brown,New York Jets,NYJ,
BrowPh01,Pharaoh Brown,Houston Texans,HOU,TE
BurtDe00,Deante Burton,Dallas Cowboys,DAL,
CannTr00,Trenton Cannon,Carolina Panthers,CAR,RB
CarrAu00,Austin Carr,New Orleans Saints,NOR,
CarrDe00,Derek Carrier,Las Vegas Raiders,LVR,
ConkTy00,Tyler Conklin,Minnesota Vikings,MIN,
CrooJa00,Jason Croom,Philadelphia Eagles,PHI,
DossKe00,Keelan Doss,Las Vegas Raiders,LVR,
EdmuTr00,Trey Edmunds,Pittsburgh Steelers,PIT,
FinlRy00,Ryan Finley,Cincinnati Bengals,CIN,
FostD.01,D.J. Foster,Arizona Cardinals,ARI,
GaffRi00,Rico Gafford,Las Vegas Raiders,LVR,
GoodC.00,C.J. Goodwin,Dallas Cowboys,DAL,
GrayCy01,Cyril Grayson,Tampa Bay Buccaneers,TAM,
GrifGa00,Garrett Griffin,New Orleans Saints,NOR,
HardJu01,Justin Hardee,New Orleans Saints,NOR,
HarrCl20,Clark Harris,Cincinnati Bengals,CIN,
HillJu00,Justice Hill,Baltimore Ravens,BAL,
HollCo00,Cody Hollister,Tennessee Titans,TEN,
HollMa00,Mack Hollins,Miami Dolphins,MIA,
HoltJ.01,J.P. Holtz,Chicago Bears,CHI,
HoltJo00,Johnny Holton,New York Giants,NYG,
HoweGr00,Buddy Howell,Houston Texans,HOU,
HuntJa01,Jason Huntley,Philadelphia Eagles,PHI,RB
JameRi00,Richie James,San Francisco 49ers,SFO,
JohnTy02,Ty Johnson,Detroit Lions,DET,
KempMa00,Marcus Kemp,Kansas City Chiefs,KAN,
MillBr02,Bruce Miller,Jacksonville Jaguars,JAX,RB
MoorJa02,Jason Moore,Los Angeles Chargers,LAC,
NallRy00,Ryan Nall,Chicago Bears,CHI,RB
NatsJo00,Jojo Natson,Cleveland Browns,CLE,WR
